Algae,Hoechst,Size,Replicate_fixation_day,Condition,Exposure.days,Parent,File,Individual,orientation,Length.mm,Notes
1258,444,177394560,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_a.czi,2025047CTRL_Vc_2d_a,ventral,3.5,
939,242,90495264,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_b.czi,2025047CTRL_Vc_2d_b,ventral,2.4,
715,211,43621312,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_c.czi,2025047CTRL_Vc_2d_c,dorsal,1.9,
2499,505,165200320,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_d-Stitching-10.czi,2025047CTRL_Vc_2d_d,ventral,3.8,
1731,416,178036256,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_e.czi,2025047CTRL_Vc_2d_e,dorsal,4.3,
1057,187,44145568,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_f.czi,2025047CTRL_Vc_2d_f,dorsal,5.1,
3967,689,164946944,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_g.czi,2025047CTRL_Vc_2d_g,lateral_dorsal,4.2,
704,723,86709472,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_h.czi,2025047CTRL_Vc_2d_h,ventral,4.5,
829,159,43619040,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_i.czi,2025047CTRL_Vc_2d_i,lateral_dorsal,4,
844,355,43621088,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_j.czi,2025047CTRL_Vc_2d_j,ventral,1.5,
2110,815,164567520,07/04/2025,0.00E+00,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_CTRL_Vc_2d_exposure_Hoechst_algae_WM_f250407_250413,CTRL_Vc_2d_k.czi,2025047CTRL_Vc_2d_k,lateral_dorsal,3.9,
412,404,86629280,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_a.czi,202504710^5_Vc_2d_a,dorsal,3.8,
1001,331,86588096,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_b.czi,202504710^5_Vc_2d_b,ventral,3.7,
3017,2220,355615648,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_c-stitching.czi,202504710^5_Vc_2d_c,ventral,5,
1566,861,86731712,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_d.czi,202504710^5_Vc_2d_d,dorsal,2.9,
621,1035,86706336,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_e.czi,202504710^5_Vc_2d_e,ventral,1.8,
1198,216,43628096,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_f.czi,202504710^5_Vc_2d_f,ventral,2.6,
2968,650,86763552,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_i.czi,202504710^5_Vc_2d_i,ventral,2.6,
1222,705,43635808,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_j.czi,202504710^5_Vc_2d_j,dorsal,1.3,
1171,425,86558528,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_m.czi,202504710^5_Vc_2d_m,ventral,1.7,
662,842,43630016,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_n.czi,202504710^5_Vc_2d_n,ventral,1,
2147,429,165728320,07/04/2025,1.00E+05,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^5_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^5_Vc_2d_o.czi,202504710^5_Vc_2d_o,dorsal,2.3,no Axio image
490,478,86541824,07/04/2025,1.00E+06,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^6_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^6_Vc_2d_a.czi,202504710^6_Vc_2d_a,dorsal,2.1,
959,566,86747232,07/04/2025,1.00E+06,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^6_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^6_Vc_2d_c.czi,202504710^6_Vc_2d_c,lateral_dorsal,2.6,
386,128,43624352,07/04/2025,1.00E+06,2,C:\Users\Francesca\Dropbox\Pictures\Immune_challenges\Cmacropyga\confocal_Hoechst_algae_autofluorescence\Cmac_10^6_Vc_2d_exposure_Hoechst_algae_WM_f250407_250414,10^6_Vc_2d_d.czi,202504710^6_Vc_2d_d,ventral,2.2,
